release_id,socb01,health01,heigh
R000001,2,1,92.5
R000002,3,2,88.0
R000003,1,1,95.2
R000004,4,2,90.1
R000005,2,1,93.0
R000006,3,1,87.5
R000007,1,2,96.0
R000008,4,1,89.3
R000009,2,2,91.8
R000010,3,1,94.2
R000011,1,1,88.7
R000012,2,2,92.0
R000013,4,1,90.5
R000014,3,2,95.5
R000015,2,1,93.3
R000016,1,2,87.9
R000017,3,1,94.8
R000018,2,2,91.0
R000019,4,1,89.8
R000020,1,2,96.5
R000021,2,1,92.2
R000022,3,2,88.4
R000023,1,1,95.0
R000024,4,2,90.0
R000025,2,1,93.5
R000026,3,2,87.2
R000027,1,1,96.2
R000028,2,2,91.5
R000029,4,1,89.0
R000030,3,2,94.0
R000031,2,1,92.8
R000032,1,2,88.2
R000033,3,1,95.8
R000034,2,2,90.8
R000035,4,1,93.2
R000036,1,2,87.6
R000037,3,1,94.5
R000038,2,2,91.2
R000039,1,1,96.8
R000040,4,2,89.5
R000041,2,1,92.6
R000042,3,2,88.8
R000043,1,1,95.3
R000044,2,2,90.3
R000045,4,1,93.8
R000046,3,2,87.0
R000047,1,1,96.0
R000048,2,2,91.8
R000049,4,1,89.2
R000050,3,2,94.3
