release_id,weight,growheigh01,famc01
R000001,13.2,2,3
R000002,14.5,1,4
R000003,12.8,2,2
R000004,15.0,3,4
R000005,13.6,1,3
R000006,14.2,2,2
R000007,12.5,3,4
R000008,15.3,1,3
R000009,13.9,2,2
R000010,14.8,3,4
R000011,12.9,1,3
R000012,14.0,2,2
R000013,15.1,3,4
R000014,13.4,1,3
R000015,14.6,2,2
R000016,12.7,3,4
R000017,15.2,1,3
R000018,13.8,2,2
R000019,14.3,3,4
R000020,12.6,1,3
R000021,15.4,2,2
R000022,13.5,3,4
R000023,14.7,1,3
R000024,12.8,2,2
R000025,15.0,3,4
R000026,13.7,1,3
R000027,14.4,2,2
R000028,12.5,3,4
R000029,15.3,1,3
R000030,13.9,2,2
R000031,14.1,3,4
R000032,12.9,1,3
R000033,15.2,2,2
R000034,13.6,3,4
R000035,14.5,1,3
R000036,12.7,2,2
R000037,15.1,3,4
R000038,13.8,1,3
R000039,14.2,2,2
R000040,12.6,3,4
R000041,15.4,1,3
R000042,13.4,2,2
R000043,14.8,3,4
R000044,12.8,1,3
R000045,15.0,2,2
R000046,13.7,3,4
R000047,14.6,1,3
R000048,12.5,2,2
R000049,15.3,3,4
R000050,13.9,1,3
