release_id,cog_eap,lan_eap,soc_eap,emo_eap,body_eap
R000240580,-1.940441,-2.409952,-.676033,-.62324,-1.823096
R000404880,-.77927,-1.225681,-.115932,.675697,-.324488
R000526172,-.329236,-.532309,.167215,.388152,-1.147737
R000776066,-.385463,-.883035,-.330561,.021143,-1.367228
R001024288,-1.89988,-1.945231,-.405239,-.427393,-2.031688
R001097123,-1.983418,-2.634424,-1.541253,-.862657,-2.798049
R001125180,-1.123654,-1.76678,-.583892,-.444705,-1.618164
R002622305,-.586375,-1.366693,1.073555,-.176012,-1.489157
R002715412,-1.193277,-.873325,1.380589,1.535048,-1.745991
R002919735,-1.500077,-2.104849,-1.10135,-.85197,-1.427449
R003337378,-1.12489,-.699296,-.62156,-.1931,-1.445307
R005729841,-.786065,-.555662,-.376565,-.71183,-.451059
R005969889,-.903367,-1.401433,.224999,-.347901,-.897001
R006066665,-1.82078,-1.841898,-.901223,-.688557,-1.143151
R006431873,-.45605,-.240579,.665427,.986268,-.787741
R006644719,-1.049718,-2.054397,-.476782,-.652902,-2.09079
R007555308,-.352544,-.921082,-.379342,.036854,-.538203
R007705405,-.42057,-.957162,-.15376,.326814,-1.684681
R007717651,-1.143599,-1.870083,-1.36154,-.213231,-1.705192
R007871760,-.357194,-1.827512,.53194,-.347746,-1.445451
R008372458,-.828622,-.610509,-.732079,-.541141,-.976592
R009190909,-.781483,-1.186009,.333464,.298866,-1.482977
R009239752,-1.208908,-2.132468,-.549614,-.576584,-2.39402
R009306140,-1.255262,-1.76037,-.898753,-.464373,-1.617728
R009404967,-.812942,-1.2812,-.591476,.955831,-1.860426
R009733200,-1.546441,-1.674361,-1.288483,-.824328,-2.487356
R010025871,-1.845348,-2.580008,-1.580635,-1.063083,-1.676793
R010360266,-2.040845,-2.197176,-1.638227,-.973087,-2.111469
R010870962,-2.404854,-3.264525,-.801168,-1.023044,-2.411665
R012097419,-.817379,-1.243169,-.625223,-.672815,-1.531929
R013042404,-.645648,-.974928,-.271273,-.169156,-1.662826
R013161729,-.858439,-1.067628,-.269821,-.393455,-1.371278
R013269532,-.026822,.172116,.482272,.728081,-1.088639
R013483835,-.797005,-2.026055,-.557517,-.435432,-1.364928
R013871202,-1.647692,-3.178913,-1.338861,-1.482407,-2.37137
R013955257,-.787568,-.451558,-.00115,1.183272,-.789134
R014021457,-1.45498,-1.917352,-.594199,-.781832,-1.673253
R014256425,-.247688,-1.134268,-.872737,.006411,-.92171
R014343553,-2.225197,-3.840179,-.845251,-1.46643,-2.477248
R015873447,-.697167,-.833045,.127966,.104662,-.955397
R016313900,-1.409341,-1.998079,-.86494,.063796,-1.199882
R016907896,-.70469,-.645229,-.479169,.285541,-.549199
R017767978,-2.1752,-2.139786,-.982,-.982807,-1.52139
R018284526,-.799323,-.878021,-.176698,-.343622,-.765212
R018694548,-.670317,-.396087,.79067,.093855,-1.812377
R020061181,-.483105,-1.649261,-1.934204,-1.359007,-2.262059
R020154058,-1.090279,-1.479715,-.549134,-.304333,-1.508966
R020372746,-.701632,-1.027229,-.583892,-.508791,-1.474639
R020777140,-.784497,-.941578,.278046,.715947,-1.336756
R022893100,-1.190273,-1.90209,.316242,.629459,-1.068066
R023258657,-1.216202,-1.431496,-.647541,-.095024,-1.965635
R023262551,-1.164069,-2.611157,-1.341539,-1.209744,-1.531987
R023557064,-1.017577,-2.063013,-1.093002,-.814243,-1.319217
R023823956,-1.183323,-1.964055,-.649113,-.363486,-1.464444
R024991545,-1.5072,-1.938201,-.740545,-.571493,-1.899631
R025214740,-1.613483,-2.984876,-1.120699,-.504155,-1.759235
R025609988,-1.907801,-2.74811,-1.208028,-.944522,-2.464672
R026160556,-.620753,-.582767,-.569774,-.180349,-1.5249
R026207205,-1.771612,-2.827441,-1.638233,-.870316,-2.471367
R027069092,-2.759406,-4.206723,-1.863259,-1.990395,-2.622331
R028637332,-1.000922,-1.681334,-.818851,.132758,-1.76286
R029572058,-.07021,-.508808,1.358847,1.026531,-.991199
R029902606,-1.172935,-1.30067,-.87603,-.075728,-1.337779
R030201595,-.452237,-.559512,1.00815,1.071302,-.73802
R030206446,-1.016203,-1.841103,-.789926,-.510451,-1.426361
